#{"t_start": 1645362909.8629582, "env_id": null}
r,l,t
0.084158,21,344.40583
7.743851,48,345.149987
0.037642,21,345.743383
0.163482,27,346.487963
5.22508,49,347.229253
0.069515,22,347.894781
0.016859,19,348.537244
0.026583,18,349.271799
0.305512,30,349.98551
0.606098,34,350.791068
0.12679,26,351.458661
0.22544,29,352.193336
0.025586,19,352.90759
0.207521,27,353.622261
0.547936,31,354.384993
1.870969,38,355.088727
0.271622,27,355.812644
0.149974,25,356.4366
1.759661,41,357.190872
1.184993,38,357.883315
0.032511,20,358.474863
0.034982,21,359.054353
2.888651,43,359.769562
2.260423,42,360.481357
1.584132,40,361.174466
0.022535,20,361.766391
0.030946,20,362.368648
0.165424,25,362.982796
1.712683,40,363.684707
0.467753,32,364.347318
0.715953,37,365.062652
0.612319,29,365.746468
0.736842,35,366.49042
0.759606,31,367.15125
1.140298,33,367.856766
0.026143,19,368.540552
0.028328,20,369.171232
0.026155,20,369.783744
0.098186,24,370.41832
3.153881,42,371.151686
0.1532,27,371.833041
0.214599,28,372.508541
0.342661,33,373.272995
0.520844,35,374.00516
0.301673,31,374.690192
0.218455,30,375.423966
0.832623,36,376.106853
0.069879,23,376.838961
6.995388,57,377.725572
0.060895,23,378.378199
0.187318,30,379.193915
0.239727,35,379.940713
12.243687,66,380.957161
1.191089,37,381.686374
0.899785,37,382.372373
0.037477,19,382.983141
0.437243,32,383.625471
0.096483,26,384.240058
0.01851,22,384.80108
0.010094,21,385.380267
0.067274,25,385.98262
0.035031,22,386.555213
0.03533,19,387.1448
0.056973,26,387.748799
0.903373,33,388.421346
2.000866,39,389.143338
0.346132,31,389.918323
0.184344,25,390.522102
0.245506,31,391.192791
0.072717,22,391.825255
0.16505,27,392.467544
7.312156,54,393.232192
2.312607,43,394.045849
0.271353,29,394.708529
0.009679,17,395.251292
1.075093,38,395.965122
1.022312,33,396.687162
0.154167,26,397.372692
2.669205,43,398.137158
3.213793,45,398.932086
1.817031,37,399.643934
1.533105,42,400.461692
0.018353,18,401.021018
0.0236,18,401.582003
0.362054,32,402.236845
0.752316,35,403.040445
0.07234,26,403.644177
0.846147,35,404.378823
0.092662,26,405.000953
2.07736,42,405.773829
0.137521,26,406.520898
0.043046,21,407.163172
0.18414,27,407.825569
0.358045,31,408.475904
0.307706,29,409.11837
0.05641,22,409.721798
0.022524,20,410.301186
1.18065,41,411.014696
0.233007,28,411.669039
2.810929,42,412.412997
0.039207,19,412.984571
0.233904,30,413.635123
0.201472,24,414.277284
0.038887,19,414.881348
2.467168,41,415.593291
0.041672,24,416.24131
0.18154,28,416.896189
0.683884,33,417.577622
1.17146,34,418.283175
1.355999,41,418.983983
0.11148,26,419.595724
0.023469,20,420.177244
0.11364,25,420.821706
0.384937,33,421.474597
0.251807,25,422.104589
0.062249,24,422.759567
2.5588,42,423.460717
3.55937,46,424.245164
0.148287,27,424.971448
0.181332,23,425.57306
0.643529,30,426.284935
0.385464,29,426.974856
3.326523,42,427.720913
0.259801,30,428.414567
0.08922,22,429.177733
0.151151,25,429.810127
0.139754,25,430.535836
0.768748,35,431.198544
0.020443,19,431.779674
0.036313,20,432.379469
0.009651,16,432.942359
1.016851,35,433.613326
3.312093,44,434.345975
1.078458,34,435.133599
0.136403,28,435.916673
0.040151,21,436.498359
0.008917,16,437.05182
0.104248,26,437.653817
0.070261,22,438.254789
0.107277,24,439.000332
6.018977,43,439.854382
0.872354,29,440.640487
1.366625,37,441.465839
0.491695,33,442.151393
1.045533,37,442.834355
0.026812,20,443.456256
2.991215,44,444.207098
0.323064,30,444.982276
2.428937,35,445.78548
0.747202,32,446.582459
16.603857,60,447.43792
1.178677,33,448.234093
11.994195,57,449.110423
4.271608,47,449.96445
2.818076,43,450.853294
0.685954,32,451.615754
0.400425,30,452.339872
0.022185,19,452.931871
0.126211,27,453.53996
0.043169,21,454.114063
0.080297,24,454.716577
0.012135,17,455.257765
0.023765,18,455.808581
0.217321,25,456.418734
0.155606,28,457.042851
0.105172,25,457.66259
11.900542,54,458.470198
0.272427,29,459.243124
0.111122,24,459.89789
61.26288,82,460.858879
0.657309,34,461.554374
0.902792,36,462.299248
0.1698,26,462.980306
0.303371,29,463.665867
0.098469,26,464.348417
2.600556,37,465.080641
0.50345,31,465.793978
0.640368,35,466.497415
0.177088,29,467.254509
7.859013,52,468.090319
3.909657,45,468.936885
5.347589,46,469.821214
32.580891,66,470.819634
0.015054,18,471.574538
47.259083,54,472.503562
2.160581,42,473.327583
1.285515,39,474.10405
0.834314,33,474.848605
7.212517,50,475.673639
0.779505,32,476.446606
5.9996,55,477.263674
0.198701,26,478.059429
0.204973,28,478.74313
3.252879,43,479.507573
18.621436,62,480.495481
0.590945,32,481.299334
0.223679,29,482.076394
4.906035,50,482.899854
4.237753,45,483.744959
0.205905,29,484.417902
0.28703,32,485.256481
0.339672,29,485.939732
9.236754,59,486.774398
7.396292,53,487.648714
1.757339,41,488.384383
36.182742,70,489.403395
25.427335,74,490.388787
9.726147,58,491.367356
2.419691,39,492.216092
8.456978,50,493.102441
12.80455,59,494.027634
0.582743,34,494.814198
59.566698,65,495.80045
2.71977,39,496.64855
14.751615,62,497.53468
35.36673,68,498.541774
25.063682,60,499.42851
0.655357,36,500.132009
10.517673,55,501.068684
2.507309,41,501.947967
0.707285,37,502.701812
9.650247,54,503.578786
3.152377,49,504.383782
20.74299,64,505.308981
30.163739,68,506.223673
2.427909,46,507.037013
4.212109,43,507.834936
2.014045,44,508.609127
0.020661,18,509.178344
0.109578,24,509.772279
2.321199,42,510.526312
9.032331,48,511.423098
28.970749,67,512.429238
4.099716,43,513.326073
14.782926,57,514.183069
24.189752,71,515.188877
0.810173,37,515.915741
0.731112,36,516.733438
8.661588,57,517.678591
41.237738,70,518.636232
7.371223,51,519.514972
2.747882,38,520.317622
2.265585,40,521.062066
15.647471,64,521.936144
15.294009,65,522.934783
0.971134,35,523.638231
13.385036,55,524.596141
0.619328,34,525.403134
3.507652,45,526.234192
14.064879,56,527.202769
0.817251,34,527.95733
20.357385,64,528.91705
0.772647,36,529.630755
1.116593,32,530.342992
27.983419,68,531.351639
11.454162,53,532.176554
1.690958,44,533.053788
8.923418,52,533.885298
34.65378,67,534.863965
6.55147,47,535.731906
11.007482,56,536.636629
0.313752,30,537.322214
9.741,60,538.299939
28.540646,68,539.173721
8.35791,51,540.062365
2.001449,37,540.783985
0.162395,28,541.408545
0.251115,30,542.071812
1.721843,40,542.805766
102.402758,87,543.823562
5.163706,53,544.782236
68.281506,82,545.859314
16.971155,51,546.664667
20.991939,61,547.560771
47.079383,76,548.552569
46.265227,69,549.509502
9.708361,56,550.417829
13.452872,57,551.324153
12.908246,64,552.241006
0.318724,30,552.923837
0.585926,32,553.604774
10.604548,56,554.470616
1.277128,38,555.308212
3.940959,45,556.181647
13.678965,59,557.068235
4.657163,44,557.852843
4.748341,47,558.657593
34.414117,68,559.532845
6.697547,52,560.355375
11.940862,58,561.223272
11.455685,53,562.139774
6.610906,50,562.972686
2.081788,42,563.759172
13.103314,62,564.662754
24.359667,65,565.671303
5.092133,47,566.466435
9.338721,54,567.366493
7.720097,53,568.203818
19.259893,65,569.109687
42.632617,75,570.057105
0.475171,31,570.709229
0.687528,35,571.412418
13.14778,55,572.255594
43.82343,64,573.092246
1.026053,36,573.836227
8.407382,54,574.650815
2.146197,41,575.484276
3.228426,48,576.403608
14.201232,58,577.247296
3.8992,46,578.082536
6.870492,56,578.968572
12.107399,56,579.921936
1.232329,36,580.70438
0.768578,33,581.40989
0.695928,33,582.116597
0.994816,35,582.819942
33.420207,72,583.784275
47.402419,68,584.772231
28.948667,68,585.763011
38.82753,75,586.700553
11.809421,58,587.666174
8.246212,56,588.554356
6.393062,54,589.414868
10.483475,54,590.311967
8.44051,56,591.259773
44.404774,71,592.237127
17.524618,60,593.135643
70.175852,79,594.120179
4.294241,46,595.026933
48.122499,66,595.934839
106.369254,82,596.950394
62.102177,76,598.031941
2.967551,42,598.836481
32.427927,65,599.752828
1.228449,40,600.507214
1.973774,40,601.261119
1.900989,39,601.984859
49.128033,69,602.929092
3.826076,47,603.766602
4.815166,50,604.632477
55.955937,74,605.690952
4.668589,53,606.551649
4.356858,48,607.35807
3.566929,51,608.234088
73.535527,84,609.271753
19.163951,64,610.208227
4.136112,49,611.112907
3.764655,47,612.039988
41.136551,71,612.992455
11.458311,57,613.950701
17.045157,60,614.897626
20.652128,64,615.851604
47.940287,66,616.786152
8.072933,48,617.68426
4.023128,46,618.568838
17.172764,59,619.487339
12.360429,57,620.424124
1.550109,39,621.253392
15.832784,62,622.221479
29.216703,65,623.209007
42.472133,62,624.09697
10.061668,58,625.072648
13.783501,62,626.050233
7.200043,51,626.894946
6.156274,51,627.793236
45.499465,70,628.770772
3.320971,45,629.614508
2.221131,42,630.438145
2.719359,46,631.232907
14.801336,55,632.116354
5.449789,49,632.994658
0.383088,27,633.736538
1.80783,40,634.511299
3.228165,44,635.326298
5.086998,51,636.18266
