#{"t_start": 1645384261.9910586, "env_id": null}
r,l,t
15.561424,2002,2187.263455
0.0,2002,2212.458788
0.0,2002,2228.293049
0.0,2002,2244.995965
81.304603,2002,2260.888978
0.0,2002,2284.747454
0.0,2002,2300.455205
0.0,2002,2316.425329
0.0,2002,2332.551253
3.176511,2002,2357.037965
0.0,2002,2373.696825
0.0,2002,2389.505244
3.148249,2002,2405.360738
0.166939,2002,2430.705486
10.210202,2002,2447.125384
0.971587,2002,2463.696405
20.224444,203,2472.712802
66.683229,275,2482.419385
3.996026,2002,2491.352823
0.175765,2002,2507.316335
0.0,2002,2523.320204
0.0,2002,2547.972972
0.0,2002,2563.929479
0.0,2002,2580.860208
0.0,2002,2596.997151
0.000922,2002,2621.114735
0.000179,2002,2637.443284
0.16282,2002,2653.912716
7.442781,2002,2670.415674
111.195142,765,2690.066559
40.271503,160,2693.97597
14.200549,2002,2702.702229
24.410727,2002,2719.275402
8.06936,2002,2744.445163
0.0,2002,2760.424094
0.0,2002,2776.691936
0.0,2002,2792.629033
0.0,2002,2816.693395
0.0,2002,2833.173797
0.000679,2002,2849.225828
0.0,2002,2865.251545
0.0,2002,2889.4685
0.110519,2002,2906.512688
0.844067,2002,2922.892152
0.0,2002,2939.551594
34.776012,2002,2963.648266
49.413925,2002,2979.50215
54.137333,2002,2995.629353
0.000359,2002,3012.43727
0.000682,2002,3037.455774
16.863132,2002,3053.679119
0.0,2002,3069.337086
0.0,2002,3085.310239
32.425595,2002,3110.092018
117.062067,407,3120.112663
8e-06,2002,3129.914226
25.09774,2002,3143.334895
0.052421,2002,3168.318864
4.1e-05,2002,3181.282135
2.2e-05,2002,3198.489626
2e-05,2002,3211.53994
0.0,2002,3229.407474
0.0,2002,3244.948143
0.0,2002,3260.649881
0.0,2002,3276.483575
1e-06,2002,3300.038763
6.994312,2002,3316.13399
5304.543764,822,3327.536854
880.914429,2002,3338.736937
100.074425,2002,3363.335822
0.00087,2002,3380.369036
0.001672,2002,3396.538429
0.419153,2002,3412.586137
0.016232,2002,3436.427395
0.068826,2002,3452.971541
927.96217,2002,3468.677157
0.160859,58,3477.140811
0.0,2002,3493.09908
0.024415,2002,3509.986471
43.948974,2002,3525.943215
20.516432,2002,3542.525621
3.067043,2002,3567.018964
0.0,2002,3582.787499
0.0,2002,3598.847083
1.633526,2002,3615.007819
17.567982,129,3631.665063
174.321446,163,3633.00178
34.574591,2002,3642.573022
4.994777,2002,3658.608061
0.01434,2002,3682.487023
0.01723,2002,3698.98152
0.126288,85,3707.613151
0.028533,2002,3715.832549
0.029748,2002,3739.617188
0.009258,2002,3755.511154
0.007807,2002,3772.400894
29.130283,2002,3789.199183
14.713539,2002,3814.264941
19.476383,158,3823.166731
24.172229,2002,3831.800043
297.598611,370,3841.542994
186.894303,2002,3859.117057
0.545596,2002,3872.220443
0.641805,2002,3885.387073
0.841927,2002,3902.757698
0.090638,560,3925.202717
0.012844,2002,3932.696586
0.000855,2002,3949.676291
0.031877,2002,3963.304569
8.699161,2002,3979.791369
0.0,2002,3996.395191
0.005612,2002,4013.86646
0.0,2002,4030.565364
0.210587,74,4047.494898
0.0,2002,4056.569274
0.310489,64,4065.079599
0.0,2002,4070.27534
0.123856,80,4087.07946
0.099431,75,4087.845085
0.113156,66,4088.555456
0.135524,77,4089.282349
0.145772,81,4098.954886
0.0,2002,4108.14411
0.00818,2002,4121.318348
0.007345,2002,4138.180974
0.011282,2002,4164.489397
0.005052,2002,4181.005838
0.007221,2002,4195.054987
0.014414,2002,4212.425452
0.004824,2002,4234.773944
65.268317,1324,4250.564799
30.053276,89,4256.448616
0.19372,2002,4265.051405
2.780974,2002,4290.195003
13.211011,186,4299.399168
1e-06,2002,4308.898219
0.000522,2002,4325.737319
9.833223,2002,4351.86316
0.992162,2002,4370.310371
7.703318,2002,4387.236479
11.397802,2002,4406.834863
2.298052,2002,4431.503115
0.116838,2002,4447.698171
